sample_id,site_name,latitude,longitude,age_BP,richness,shannon_H,evenness,openness,pollen_sum,roc_chord
413726,Lake Pastorskoye,60.22891,30.04151,9012.0,7.0,1.7148083921388195,0.8812371902018769,0.4663105998356615,100.0,0.5786640340086946
413727,Lake Pastorskoye,60.22891,30.04151,9220.0,8.0,1.8236103004335114,0.8769711789831532,0.5479704797047971,100.00000000000001,0.19341882794479018
413728,Lake Pastorskoye,60.22891,30.04151,9480.0,7.0,1.728719439022491,0.8883860541360235,0.6528066528066528,100.00000000000003,0.3806810248574476
413729,Lake Pastorskoye,60.22891,30.04151,9843.0,10.0,1.8836286040745798,0.818049508704715,0.6821192052980132,100.00000000000003,0.12793077938886593
413730,Lake Pastorskoye,60.22891,30.04151,9947.0,9.0,1.9326052693960964,0.8795665628950267,0.7289473684210527,100.0,0.2538747498697414
413731,Lake Pastorskoye,60.22891,30.04151,10051.0,11.0,1.9357576686641615,0.8072736497808392,0.746031746031746,100.00000000000003,0.3707916978797855
413732,Lake Pastorskoye,60.22891,30.04151,10155.0,8.0,1.9380162386118325,0.9319888055358576,0.7869955156950673,100.00000000000003,0.241838846666339
413733,Lake Pastorskoye,60.22891,30.04151,10207.0,12.0,2.066915311376695,0.8317879110481006,0.7149532710280374,100.00000000000001,0.17650052790529988
413734,Lake Pastorskoye,60.22891,30.04151,10310.0,11.0,1.8735664944037482,0.7813379156535369,0.7461024498886414,99.99999999999997,0.22373044668738162
413735,Lake Pastorskoye,60.22891,30.04151,10412.0,9.0,1.8219636616515102,0.8292113971619357,0.7962962962962964,99.99999999999997,0.1835719401572093
413736,Lake Pastorskoye,60.22891,30.04151,10515.0,10.0,2.071940389222367,0.8998322778717497,0.7712082262210798,100.0,0.3857713192991681
413737,Lake Pastorskoye,60.22891,30.04151,10617.0,10.0,2.0191335036182227,0.8768985388473736,0.8300492610837439,99.99999999999997,0.255374264839656
413738,Lake Pastorskoye,60.22891,30.04151,10668.0,10.0,2.0137298208743024,0.8745517492497332,0.7115384615384616,99.99999999999997,0.555885913376584
413739,Lake Pastorskoye,60.22891,30.04151,10771.0,8.0,1.5737498052020973,0.7568136798550127,0.5303030303030303,100.0,0.4483396546533708
413740,Lake Pastorskoye,60.22891,30.04151,10873.0,8.0,1.6766003956710587,0.8062743587957035,0.5547169811320756,99.99999999999999,0.23231429187269972
413741,Lake Pastorskoye,60.22891,30.04151,10975.0,10.0,1.911321815003601,0.8300765173973718,0.6218750000000001,100.0,0.34942426410156546
413742,Lake Pastorskoye,60.22891,30.04151,11027.0,10.0,1.8591753537254812,0.8074295970135027,0.6286919831223629,99.99999999999999,0.4067316844781431
413743,Lake Pastorskoye,60.22891,30.04151,11129.0,10.0,1.9140888989956961,0.8312782467061015,0.5283018867924528,100.0,0.4083860398807928
413744,Lake Pastorskoye,60.22891,30.04151,11232.0,11.0,2.0034101840295957,0.8354869400495517,0.5135135135135135,100.00000000000001,0.2780199977339982
413745,Lake Pastorskoye,60.22891,30.04151,11334.0,11.0,1.9833469184484493,0.8271199084244665,0.5622775800711745,99.99999999999999,0.32903363522322376
413746,Lake Pastorskoye,60.22891,30.04151,11385.0,11.0,1.9995081410075086,0.8338596617166104,0.4908424908424908,100.00000000000001,0.12941293015779803
413747,Lake Pastorskoye,60.22891,30.04151,11488.0,11.0,2.0930902421929063,0.8728864291684626,0.6545961002785515,100.00000000000003,0.4686303388768868
413748,Lake Pastorskoye,60.22891,30.04151,11590.0,10.0,1.9501441453232142,0.8469368412298051,0.7168141592920353,99.99999999999997,0.20471762987175832
413749,Lake Pastorskoye,60.22891,30.04151,11693.0,11.0,2.075694069747099,0.8656316617717591,0.6380208333333334,100.00000000000001,0.3016678727005335
391264,Lake Ruila,59.175,24.43111,0.0,11.0,1.6903017252778825,0.7049105707211647,0.04081205525324403,100.0,
391265,Lake Ruila,59.175,24.43111,409.0,10.0,1.6140373893220417,0.7009675317680932,0.04725168756027002,100.0,0.16190742931185842
391266,Lake Ruila,59.175,24.43111,818.0,9.0,1.539643050861111,0.700721749948601,0.047577092511013205,100.00000000000001,0.09447075259627154
391267,Lake Ruila,59.175,24.43111,1227.0,11.0,1.6569737228794776,0.691011714179565,0.02210433244916003,100.00000000000001,0.20711529317829888
391268,Lake Ruila,59.175,24.43111,1636.0,12.0,1.776331068959342,0.7148482093324872,0.07215447154471545,100.0,0.1482774306863666
391269,Lake Ruila,59.175,24.43111,2045.0,8.0,1.65536615360134,0.7960628468853638,0.01853568118628359,100.0,0.255022785919928
391270,Lake Ruila,59.175,24.43111,2454.0,10.0,1.6302822381574775,0.7080225799766754,0.02368692070030896,100.00000000000001,0.2221849724750785
391271,Lake Ruila,59.175,24.43111,2794.0,8.0,1.5485000740074037,0.7446711258622248,0.02554420257663261,100.00000000000003,0.06505069158451723
391272,Lake Ruila,59.175,24.43111,2984.0,10.0,1.6768959656357092,0.7282666646014134,0.01143946615824595,100.00000000000001,0.3321042626478303
391273,Lake Ruila,59.175,24.43111,3174.0,9.0,1.7672961147248452,0.8043311243438787,0.019157088122605366,100.0,0.2033671131467034
391274,Lake Ruila,59.175,24.43111,3251.0,10.0,1.6490191977156934,0.716159938120453,0.024747937671860683,100.00000000000003,0.13885161414562658
391275,Lake Ruila,59.175,24.43111,3301.0,10.0,1.6852416504449095,0.7318911494617529,0.013270142180094783,100.00000000000003,0.12167138546202619
391276,Lake Ruila,59.175,24.43111,3381.0,10.0,1.658996598029651,0.7204930680205446,0.03048780487804878,99.99999999999997,0.3363331430557468
391277,Lake Ruila,59.175,24.43111,3528.0,11.0,1.7788799959074548,0.7418505787500393,0.01936483346243223,99.99999999999999,0.11193018089078122
391278,Lake Ruila,59.175,24.43111,3674.0,9.0,1.8169344581176683,0.8269225079943391,0.014367816091954023,99.99999999999999,0.13099712703771743
